control: controls controlled controlling controller controllable controllability controllableness controllably controllingly noncontrollable noncontrollably noncontrolled noncontrolling overcontrolled overcontrolling precontrolled precontrolling quasi-controlled quasi-controlling subcontrolled subcontrolling uncontrolled uncontrolling well-controlled | control noncontrol overcontrol precontrol quasi-control subcontrol uncontrol well-control 
doctor: doctorate doctoral doctorial doctorally doctorially undoctored | doctor doctori doctorless undoctor 
play: plays played playing playingly playlike nonplaying self-playing unplayed unplaying playability playable | play playlik nonplay self-play unplay playabl 
factor: factors factored factoring factorable factorability unfactorable unfactored | factor unfactor 
power: powerful powerfully powerfulness overpowerful overpowerfully overpowerfulness quasi-powerful quasi-powerfully superpowerful ultrapowerful unpowerful | power overpow quasi-pow superpow ultrapow unpow 
smile: smiles smiled smiling smilelessly smilelessness smilingly half-smiling half-smilingly outsmile outsmiled outsmiling subsmile unsmiling unsmilingly smilingness | smile smileless half-smil outsmil subsmil unsmil smiling 
shake: shakes shook shaking shakable shakeable reshake reshaking unshakable unshakablely unshakeable unshakeablely | shake shakabl shakeabl reshak unshak 
refer: refers referred referring reference referable referrable referrible referrer referral misrefer misreferred misreferring prerefer prereferred prereferring unreferred well-referred | refer referr misref preref unref well-ref 
associate: associates associated associating association nonassociated reassociate reassociated reassociating superassociate unassociated well-associated associable associator associatory | associ nonassoci reassoci superassoci unassoci well-associ associatori 
shape: shapes shaped shaping shapable shapeable outshape outshaped outshaping preshape preshaped preshaping transshape transshaped transshaping unshapable unshapeable unshaping | shape shapabl shapeabl outshap preshap transshap unshap 
environment: environmental environmentally interenvironmental nonenvironmental nonenvironmentally preenvironmental proenvironmental | environment environ interenvironment nonenvironment preenvironment proenvironment 
compare: compares compared comparing comparer intercompare intercompared intercomparing precompare precompared precomparing recompare recompared recomparing uncompared well-compared | compar intercompar precompar recompar uncompar well-compar 
military: militarily militariness antimilitary nonmilitary premilitary promilitary pseudomilitarily pseudomilitary quasi-military supermilitary unmilitarily unmilitary | militari militarili antimilitari nonmilitari premilitari promilitari pseudomilitarili pseudomilitari quasi-militari supermilitari unmilitarili unmilitari 
personal: personalness hyperpersonal hyperpersonally multipersonal nonpersonal nonpersonally quasi-personal quasi-personally superpersonal superpersonally unpersonal unpersonally | person hyperperson multiperson nonperson quasi-person superperson unperson 
handle: handles handled handling handleable handleability overhandle overhandled overhandling prehandle prehandled prehandling rehandle rehandled rehandling | handl handleabl overhandl prehandl rehandl 
understand: understands understood understandable understandably understanding understandingly nonunderstanding nonunderstandingly self-understanding preunderstanding | understand nonunderstand self-understand preunderstand 
state: states stated stating statable stateable antistate counterstate counterstated counterstating outstate outstated outstating substate unstatable unstateable | state statabl stateabl antist counterst outstat substat unstat 
express: expresses expressed expressing expressly expresser expressible quasi-expressed unexpressible well-expressed | express expressli quasi-express unexpress well-express 
wild: wilderness wildly wildness half-wildly half-wildness overwildly overwildness semiwildly semiwildness unwildly unwildness | wild wilder half-wild overwild semiwild 
perfect: perfection perfectedly perfecter perfectness nonperfected quasi-perfectly self-perfecting superperfectly unperfected | perfect nonperfect quasi-perfect self-perfect unperfect 
pressure: pressures pressured pressuring pressurize interpressure nonpressure superpressure underpressure unpressured | pressur interpressur nonpressur superpressur underpressur unpressur 
suffer: suffers suffered suffering sufferable sufferableness sufferably sufferer nonsufferable nonsufferableness nonsufferably outsuffer presuffer unsufferable unsufferableness unsufferably | suffer nonsuffer outsuff presuff unsuffer 
break: breaks broke breaking breakable breakableness breakably nonbreakable rebroke rebreaking unbreakable unbreakableness unbreakably | break breakabl nonbreak rebrok unbreak 
drink: drinks drank drinking outdrinking overdrinking drinkable | drink drinkabl 
buy: buys bought buying buyable nonbuying prebuying rebuying unbuyable unbuying | buy buyabl nonbuy prebuy rebuy unbuy 
change: changes changed changing changefulness changedness unchanged unchangingly unchangingness changelessly changelessness | chang changed unchang unchanging changeless 
talk: talks talked talking talkable talkability nontalker untalking talkable talkability | talk talkabl nontalk untalk 
hear: hears heard hearing hearable outhearing rehearing unhearable hearable | hear hearabl outhear rehear unhear 
