Between	 Other
river	 NN
in	 Other
its	 JJ
broad	 JJ
reach	 NN
rested	 VB
unruffled	 JJ
at	 Other
the	 Other
decline	 NN
of	 Other
day	 NN
,	 Other
after	 Other
ages	 NN
of	 Other
good	 JJ
service	 NN
done	 VB
to	 Other
the	 Other
race	 NN
that	 JJ
peopled	 VB
its	 JJ
banks	 NN
,	 Other
spread	 VB
out	 Other
in	 Other
the	 Other
tranquil	 JJ
dignity	 NN
of	 Other
a	 Other
waterway	 NN
leading	 VB
to	 Other
the	 Other
uttermost	 JJ
ends	 NN
of	 Other
the	 Other
earth	 NN
.	 Other
We	 NN
looked	 VB
at	 Other
the	 Other
venerable	 JJ
stream	 NN
not	 RB
in	 Other
the	 Other
vivid	 JJ
flush	 NN
of	 Other
a	 Other
short	 JJ
day	 NN
that	 JJ
comes	 VB
and	 Other
departs	 VB
for	 Other
ever	 RB
,	 Other
but	 Other
in	 Other
the	 Other
august	 JJ
light	 NN
of	 Other
abiding	 VB
memories	 NN
.	 Other
And	 Other
indeed	 RB
nothing	 NN
is	 VB
easier	 JJ
for	 Other
a	 Other
man	 NN
who	 NN
has	 VB
,	 Other
as	 Other
the	 Other
phrase	 NN
goes	 VB
,	 Other
"	 Other
followed	 VB
the	 Other
sea	 NN
"	 Other
with	 Other
reverence	 NN
and	 Other
affection	 NN
,	 Other
than	 Other
to	 Other
evoke	 VB
the	 Other
great	 JJ
spirit	 NN
of	 Other
the	 Other
past	 NN
upon	 Other
the	 Other
lower	 JJ
reaches	 NN
of	 Other
the	 Other
Thames	 NN
.	 Other
The	 Other
tidal	 JJ
current	 NN
runs	 VB
to	 Other
and	 Other
fro	 NN
in	 Other
its	 JJ
unceasing	 JJ
service	 NN
,	 Other
crowded	 VB
with	 Other
memories	 NN
of	 Other
men	 NN
and	 Other
ships	 NN
it	 NN
had	 VB
borne	 VB
to	 Other
the	 Other
rest	 NN
of	 Other
home	 NN
or	 Other
to	 Other
the	 Other
battles	 NN
of	 Other
the	 Other
sea	 NN
.	 Other
It	 NN
had	 VB
known	 VB
and	 Other
served	 VB
all	 JJ
the	 Other
men	 NN
of	 Other
whom	 NN
the	 Other
nation	 NN
is	 VB
proud	 JJ
,	 Other
from	 Other
Sir	 NN
Francis	 NN
Drake	 NN
to	 Other
Sir	 NN
John	 NN
Franklin	 NN
,	 Other
knights	 NN
all	 Other
,	 Other
titled	 VB
and	 Other
untitledthe	 Other
great	 JJ
knights	 NN
-	 Other
errant	 NN
of	 Other
the	 Other
sea	 NN
.	 Other
It	 NN
had	 VB
borne	 VB
all	 JJ
the	 Other
ships	 NN
whose	 JJ
names	 NN
are	 VB
like	 Other
jewels	 NN
flashing	 VB
in	 Other
the	 Other
night	 NN
of	 Other
time	 NN
,	 Other
from	 Other
the	 Other
Golden	 NN
Hind	 NN
returning	 VB
with	 Other
her	 JJ
rotund	 JJ
flanks	 NN
full	 JJ
of	 Other
treasure	 NN
,	 Other
to	 Other
be	 VB
visited	 VB
by	 Other
the	 Other
Queen	 NN
's	 Other
Highness	 NN
and	 Other
thus	 RB
pass	 VB
out	 Other
of	 Other
the	 Other
gigantic	 JJ
tale	 NN
,	 Other
to	 Other
the	 Other
Erebus	 NN
and	 Other
Terror	 NN
,	 Other
bound	 VB
on	 Other
other	 JJ
conquestsand	 NN
that	 JJ
never	 RB
returned	 VB
.	 Other
The	 Other
swaying	 NN
had	 VB
come	 VB
to	 Other
a	 Other
halt	 NN
and	 Other
it	 NN
was	 VB
dark	 JJ
.	 Other
The	 Other
Explorer	 NN
was	 VB
not	 RB
comfortable	 JJ
in	 Other
the	 Other
alien	 JJ
air	 NN
.	 Other
It	 NN
felt	 VB
as	 RB
thick	 JJ
as	 Other
soup	 NN
and	 Other
he	 NN
had	 VB
to	 Other
breathe	 VB
shallowly	 RB
.	 Other
Even	 RB
so	 JJ
He	 NN
reached	 VB
out	 Other
in	 Other
a	 Other
sudden	 JJ
need	 NN
for	 Other
company	 NN
.	 Other
The	 Other
Merchant	 NN
was	 VB
warm	 JJ
to	 Other
the	 Other
touch	 NN
.	 Other
His	 JJ
breathing	 NN
was	 VB
rough	 JJ
,	 Other
he	 NN
moved	 VB
in	 Other
an	 Other
occasional	 JJ
spasm	 NN
,	 Other
and	 Other
was	 VB
obviously	 RB
asleep	 JJ
.	 Other
The	 Other
Explorer	 NN
hesitated	 VB
and	 Other
decided	 VB
not	 RB
to	 Other
wake	 VB
him	 NN
.	 Other
It	 NN
would	 VB
serve	 VB
no	 Other
real	 JJ
purpose	 NN
.	 Other
There	 RB
would	 VB
be	 VB
no	 Other
rescue	 NN
,	 Other
of	 Other
course	 NN
.	 Other
That	 Other
was	 VB
the	 Other
penalty	 NN
paid	 VB
for	 Other
the	 Other
high	 JJ
profits	 NN
which	 JJ
unrestrained	 JJ
competition	 NN
could	 VB
lead	 VB
to	 Other
.	 Other
The	 Other
Merchant	 NN
who	 NN
opened	 VB
a	 Other
new	 JJ
planet	 NN
could	 VB
have	 VB
a	 Other
ten	 Other
year	 NN
monopoly	 NN
of	 Other
its	 JJ
trade	 NN
,	 Other
which	 JJ
he	 NN
might	 VB
hug	 VB
to	 Other
himself	 NN
or	 Other
,	 Other
more	 RB
likely	 JJ
,	 Other
rent	 VB
out	 Other
to	 Other
all	 Other
comers	 NN
at	 Other
a	 Other
stiff	 JJ
price	 NN
.	 Other
It	 NN
followed	 VB
that	 Other
planets	 NN
were	 VB
searched	 VB
for	 Other
in	 Other
secrecy	 NN
and	 Other
,	 Other
preferably	 RB
,	 Other
away	 RB
from	 Other
the	 Other
usual	 JJ
trade	 NN
routes	 NN
.	 Other
In	 Other
a	 Other
case	 NN
such	 JJ
as	 Other
theirs	 NN
,	 Other
then	 RB
,	 Other
there	 RB
was	 VB
little	 JJ
or	 Other
no	 Other
chance	 NN
that	 Other
another	 Other
ship	 NN
would	 VB
come	 VB
within	 Other
range	 NN
of	 Other
their	 JJ
subetherics	 NN
except	 Other
for	 Other
the	 Other
most	 RB
improbable	 JJ
of	 Other
coincidences	 NN
.	 Other
Even	 RB
if	 Other
they	 NN
were	 VB
in	 Other
their	 JJ
ship	 NN
,	 Other
that	 RB
is	 RB
,	 Other
rather	 RB
than	 Other
in	 Other
thisthiscage	 NN
.	 Other
The	 Other
Explorer	 NN
grasped	 VB
the	 Other
thick	 JJ
bars	 NN
.	 Other
Even	 RB
if	 Other
they	 NN
blasted	 VB
those	 Other
away	 RB
,	 Other
as	 Other
they	 NN
could	 VB
,	 Other
they	 NN
would	 VB
be	 VB
stuck	 VB
too	 RB
high	 JJ
in	 Other
open	 JJ
air	 NN
for	 Other
leaping	 VB
.	 Other
It	 NN
was	 VB
too	 RB
bad	 JJ
.	 Other
They	 NN
had	 VB
landed	 VB
twice	 RB
before	 RB
in	 Other
the	 Other
scout	 NN
-	 Other
ship	 NN
.	 Other
They	 NN
had	 VB
established	 VB
contact	 NN
with	 Other
the	 Other
natives	 NN
who	 NN
were	 VB
grotesquely	 RB
huge	 JJ
,	 Other
but	 Other
mild	 JJ
and	 Other
unaggressive	 JJ
.	 Other
It	 NN
was	 VB
obvious	 JJ
that	 Other
they	 NN
had	 VB
once	 RB
owned	 VB
a	 Other
flourishing	 JJ
technology	 NN
,	 Other
but	 Other
had	 VB
n't	 RB
faced	 VB
up	 Other
to	 Other
the	 Other
consequences	 NN
of	 Other
such	 JJ
a	 Other
technology	 NN
.	 Other
It	 NN
would	 VB
have	 VB
been	 VB
a	 Other
wonderful	 JJ
market	 NN
.	 Other
And	 Other
it	 NN
was	 VB
a	 Other
tremendous	 JJ
world	 NN
.	 Other
The	 Other
Merchant	 NN
,	 Other
especially	 RB
,	 Other
had	 VB
been	 VB
taken	 VB
aback	 RB
.	 Other
He	 NN
had	 VB
known	 VB
the	 Other
figures	 NN
that	 JJ
expressed	 VB
the	 Other
planet	 NN
's	 Other
diameter	 NN
,	 Other
but	 Other
from	 Other
a	 Other
distance	 NN
of	 Other
two	 Other
light	 JJ
-	 Other
seconds	 NN
,	 Other
he	 NN
had	 VB
stood	 VB
at	 Other
the	 Other
visi	 NN
-	 Other
plate	 NN
and	 Other
muttered	 VB
,	 Other
"	 Other
Unbelievable	 JJ
!	 Other
"	 Other
"	 Other
Oh	 Other
,	 Other
there	 RB
are	 VB
larger	 JJ
worlds	 NN
,	 Other
"	 Other
the	 Other
Explorer	 NN
said	 VB
.	 Other
It	 NN
would	 VB
n't	 RB
do	 VB
for	 Other
an	 Other
Explorer	 NN
to	 Other
be	 VB
too	 RB
easily	 RB
impressed	 JJ
.	 Other
"	 Other
Inhabited	 VB
?	 Other
"	 Other
"	 Other
Well	 Other
,	 Other
no	 Other
.	 Other
"	 Other
"	 Other
Why	 RB
,	 Other
you	 NN
could	 VB
drop	 VB
your	 JJ
planet	 NN
into	 Other
that	 Other
large	 JJ
ocean	 NN
and	 Other
drown	 VB
it	 NN
.	 Other
"	 Other
The	 Other
Explorer	 NN
smiled	 VB
.	 Other
It	 NN
was	 VB
a	 Other
gentle	 JJ
dig	 NN
at	 Other
his	 JJ
Arcturian	 JJ
homeland	 NN
,	 Other
which	 JJ
was	 VB
smaller	 JJ
than	 Other
most	 JJ
planets	 NN
.	 Other
He	 NN
said	 VB
,	 Other
"	 Other
Not	 RB
quite	 RB
.	 Other
"	 Other
The	 Other
Merchant	 NN
followed	 VB
along	 Other
the	 Other
line	 NN
of	 Other
his	 JJ
thoughts	 NN
.	 Other
"	 Other
And	 Other
the	 Other
inhabitants	 NN
are	 VB
large	 JJ
in	 Other
proportion	 NN
to	 Other
their	 JJ
world	 NN
?	 Other
"	 Other
He	 NN
sounded	 VB
as	 Other
though	 Other
the	 Other
news	 NN
struck	 VB
him	 NN
less	 RB
favorably	 RB
now	 RB
.	 Other
Solvency	 NN
2	 Other
standards	 NN
will	 VB
make	 VB
a	 Other
radical	 JJ
change	 NN
in	 Other
risk	 NN
management	 NN
practices	 NN
in	 Other
the	 Other
actuarial	 JJ
sector	 NN
.	 Other
They	 NN
are	 VB
based	 VB
on	 Other
a	 Other
strengthening	 NN
of	 Other
risk	 NN
control	 NN
and	 Other
minimization	 NN
of	 Other
a	 Other
ruin	 NN
probability	 NN
.	 Other
The	 Other
determination	 NN
of	 Other
the	 Other
economic	 JJ
regulatory	 JJ
capital	 NN
will	 VB
be	 VB
faced	 VB
under	 Other
this	 Other
prudential	 JJ
mechanism	 NN
with	 Other
a	 Other
kind	 NN
of	 Other
methodological	 JJ
revolution	 NN
.	 Other
A	 Other
choices	 NN
of	 Other
a	 Other
dependence	 NN
model	 NN
between	 Other
different	 JJ
risks	 NN
and	 Other
of	 Other
an	 Other
aggregation	 NN
methodology	 NN
are	 VB
both	 Other
required	 VB
.	 Other
In	 Other
the	 Other
prescribed	 JJ
Standard	 NN
Formula	 NN
,	 Other
risks	 NN
aggregation	 NN
is	 VB
done	 VB
using	 VB
correlation	 NN
matrices	 NN
that	 JJ
connect	 VB
families	 NN
and	 Other
subfamilies	 NN
of	 Other
risks	 NN
.	 Other
Once	 RB
the	 Other
Solvency	 NN
Capital	 NN
Requirement	 NN
(	 Other
SCR	 NN
)	 Other
is	 VB
calculated	 VB
,	 Other
its	 JJ
allocation	 NN
between	 Other
the	 Other
different	 JJ
risky	 JJ
activity	 NN
branches	 NN
becomes	 VB
the	 Other
new	 JJ
operational	 JJ
challenge	 NN
.	 Other
Capital	 NN
allocation	 NN
is	 VB
an	 Other
internal	 JJ
exercise	 NN
,	 Other
certainly	 RB
not	 RB
controlled	 VB
by	 Other
the	 Other
first	 JJ
pillar	 NN
of	 Other
Solvency	 NN
2	 Other
,	 Other
but	 Other
it	 NN
plays	 VB
a	 Other
crucial	 JJ
role	 NN
in	 Other
determining	 VB
performance	 NN
of	 Other
all	 JJ
the	 Other
insurer	 NN
activity	 NN
.	 Other
The	 Other
case	 NN
of	 Other
insurance	 NN
groups	 NN
requires	 VB
special	 JJ
treatment	 NN
in	 Other
the	 Other
context	 NN
of	 Other
the	 Other
Own	 NN
Risk	 NN
and	 Other
Solvency	 NN
Assessment	 NN
(	 Other
ORSA	 NN
)	 Other
approach	 NN
.	 Other
In	 Other
this	 Other
context	 NN
,	 Other
a	 Other
multivariate	 JJ
analysis	 NN
of	 Other
risk	 NN
seems	 VB
relevant	 JJ
.	 Other
The	 Other
issue	 NN
of	 Other
capital	 NN
allocation	 NN
in	 Other
a	 Other
multivariate	 NN
context	 NN
arises	 VB
from	 Other
the	 Other
presence	 NN
of	 Other
dependence	 NN
between	 Other
the	 Other
various	 JJ
risky	 JJ
activities	 NN
which	 JJ
may	 VB
generate	 VB
a	 Other
diversification	 NN
effect	 NN
.	 Other
Several	 JJ
allocation	 NN
methods	 NN
in	 Other
the	 Other
literature	 NN
are	 VB
based	 VB
on	 Other
a	 Other
choice	 NN
of	 Other
a	 Other
univariate	 JJ
risk	 NN
measure	 NN
and	 Other
an	 Other
allocation	 NN
principle	 NN
.	 Other
Others	 NN
are	 VB
based	 VB
on	 Other
optimizing	 VB
a	 Other
multivariate	 JJ
ruin	 NN
probability	 NN
or	 Other
some	 Other
multivariate	 JJ
risk	 NN
indicators	 NN
.	 Other
In	 Other
this	 Other
paper	 NN
,	 Other
we	 NN
focus	 VB
on	 Other
the	 Other
allocation	 NN
technique	 NN
by	 Other
minimizing	 VB
some	 Other
risk	 NN
indicators	 NN
.	 Other
The	 Other
literature	 NN
on	 Other
the	 Other
subject	 NN
of	 Other
capital	 NN
allocation	 NN
methods	 NN
is	 VB
very	 RB
rich	 JJ
.	 Other
Several	 JJ
principles	 NN
have	 VB
been	 VB
proposed	 VB
over	 Other
the	 Other
last	 JJ
twenty	 Other
years	 NN
.	 Other
The	 Other
most	 RB
important	 JJ
and	 Other
most	 JJ
studied	 VB
are	 VB
the	 Other
Shapley	 NN
method	 NN
,	 Other
the	 Other
Aumann	 NN
-	 Other
Shapley	 NN
method	 NN
and	 Other
the	 Other
Euler	 NN
s	 NN
method	 NN
.	 Other
The	 Other
Shapley	 NN
method	 NN
is	 VB
based	 VB
on	 Other
cooperative	 JJ
game	 NN
theory	 NN
.	 Other
It	 NN
is	 VB
described	 VB
in	 Other
detail	 NN
in	 Other
Denault	 NN
s	 Other
paper	 NN
(	 Other
2001	 Other
)	 Other
[	 Other
10	 Other
]	 Other
.	 Other
Denault	 NN
proved	 VB
that	 Other
this	 Other
method	 NN
,	 Other
originally	 RB
used	 VB
to	 Other
allocate	 VB
the	 Other
total	 JJ
cost	 NN
between	 Other
players	 NN
in	 Other
coalitional	 JJ
games	 NN
context	 NN
,	 Other
can	 VB
be	 VB
easily	 RB
adapted	 VB
to	 Other
solve	 VB
the	 Other
problem	 NN
of	 Other
the	 Other
overall	 JJ
risk	 NN
allocation	 NN
between	 Other
segments	 NN
.	 Other
Tasche	 NN
devoted	 VB
two	 Other
papers	 NN
[	 Other
21	 Other
]	 Other
and	 Other
[	 Other
22	 Other
]	 Other
to	 Other
describe	 VB
Euler	 NN
s	 NN
method	 NN
.	 Other
Euler	 NN
s	 NN
method	 NN
is	 VB
also	 RB
found	 VB
in	 Other
the	 Other
literature	 NN
under	 Other
the	 Other
name	 NN
of	 Other
gradient	 NN
method	 NN
.	 Other
It	 NN
is	 VB
based	 VB
on	 Other
the	 Other
idea	 NN
of	 Other
allocating	 VB
capital	 NN
according	 VB
to	 Other
the	 Other
infinitesimal	 JJ
marginal	 JJ
impact	 NN
of	 Other
each	 Other
risk	 NN
.	 Other
This	 Other
impact	 NN
corresponds	 VB
to	 Other
the	 Other
increase	 NN
obtained	 VB
on	 Other
the	 Other
overall	 JJ
risk	 NN
,	 Other
yielding	 VB
an	 Other
infinitely	 RB
small	 JJ
increment	 NN
in	 Other
a	 Other
marginal	 JJ
risk	 NN
.	 Other
Euler	 NN
s	 NN
method	 NN
is	 VB
very	 RB
present	 JJ
in	 Other
the	 Other
literature	 NN
.	 Other
Several	 JJ
papers	 NN
analyze	 VB
its	 JJ
properties	 NN
(	 Other
RORAC	 JJ
compatibility	 NN
[	 Other
6	 Other
]	 Other
,	 Other
[	 Other
23	 Other
]	 Other
,	 Other
Coherence	 NN
[	 Other
5	 Other
]	 Other
,	 Other
...	 Other
)	 Other
under	 Other
different	 JJ
assumptions	 NN
(	 Other
Tasche	 NN
(	 Other
2004	 Other
)	 Other
[	 Other
20	 Other
]	 Other
,	 Other
Balog	 NN
(	 Other
2011	 Other
)	 Other
[	 Other
2	 Other
]	 Other
)	 Other
.	 Other
Its	 JJ
fame	 NN
is	 VB
due	 JJ
to	 Other
the	 Other
existence	 NN
of	 Other
economic	 JJ
arguments	 NN
that	 JJ
can	 VB
justify	 VB
its	 JJ
use	 NN
to	 Other
develop	 VB
allocation	 NN
rules	 NN
.	 Other
Finally	 RB
,	 Other
Aumann	 NN
-	 Other
Shapley	 NN
method	 NN
is	 VB
a	 Other
continuous	 JJ
generalization	 NN
of	 Other
Shapley	 NN
method	 NN
.	 Other
Its	 JJ
principle	 NN
is	 VB
based	 VB
on	 Other
the	 Other
value	 NN
introduced	 VB
by	 Other
Aumann	 NN
and	 Other
Shaplay	 NN
in	 Other
game	 NN
theory	 NN
.	 Other
Denault	 NN
[	 Other
10	 Other
]	 Other
analyzes	 VB
this	 Other
method	 NN
and	 Other
its	 JJ
application	 NN
to	 Other
capital	 NN
allocation	 NN
.	 Other
These	 Other
three	 Other
capital	 NN
allocation	 NN
principles	 NN
rely	 VB
on	 Other
different	 JJ
risk	 NN
measures	 NN
.	 Other
The	 Other
coherence	 NN
of	 Other
the	 Other
allocation	 NN
method	 NN
depends	 VB
on	 Other
the	 Other
properties	 NN
of	 Other
the	 Other
selected	 VB
risk	 NN
measure	 NN
.	 Other
Several	 JJ
papers	 NN
deal	 VB
with	 Other
capital	 NN
allocation	 NN
coherence	 NN
based	 VB
on	 Other
the	 Other
properties	 NN
of	 Other
the	 Other
risk	 NN
measure	 NN
used	 VB
.	 Other
We	 NN
quote	 VB
as	 Other
examples	 NN
,	 Other
Fischer	 NN
(	 Other
2003	 Other
)	 Other
[	 Other
12	 Other
]	 Other
,	 Other
Bush	 NN
and	 Other
Dorfleitner	 NN
(	 Other
2008	 Other
)	 Other
[	 Other
5	 Other
]	 Other
,	 Other
and	 Other
Kalkbrener	 NN
(	 Other
2009	 Other
)	 Other
[	 Other
16	 Other
]	 Other
.	 Other
Lecturers	 NN
are	 VB
non	 JJ
-	 Other
tenure	 NN
track	 NN
adjunct	 NN
-	 Other
faculty	 NN
members	 NN
.	 Other
They	 NN
say	 VB
that	 Other
they	 NN
are	 VB
not	 RB
treated	 VB
like	 Other
professionals	 NN
,	 Other
even	 RB
though	 Other
they	 NN
teach	 VB
classes	 NN
,	 Other
engage	 VB
in	 Other
writing	 NN
and	 Other
research	 NN
,	 Other
and	 Other
hold	 VB
advanced	 JJ
degrees	 NN
from	 Other
top	 JJ
universities	 NN
.	 Other
Across	 Other
the	 Other
University	 NN
of	 Other
California	 NN
system	 NN
about	 Other
one	 Other
-	 Other
third	 NN
of	 Other
all	 Other
classes	 NN
are	 VB
taught	 VB
by	 Other
Lecturers	 NN
,	 Other
and	 Other
contingent	 JJ
faculty	 NN
members	 NN
teach	 VB
over	 Other
half	 NN
of	 Other
the	 Other
UC	 NN
's	 Other
undergraduate	 JJ
credit	 NN
hours	 NN
in	 Other
total	 NN
,	 Other
if	 Other
graduate	 JJ
student	 NN
teachers	 NN
are	 VB
included	 VB
in	 Other
the	 Other
equation	 NN
.	 Other
The	 Other
majority	 NN
of	 Other
Lecturers	 NN
are	 VB
hired	 VB
year	 NN
-	 Other
by-year	 JJ
or	 Other
quarter	 NN
-	 Other
by-quarter	 NN
as	 Other
"	 Other
temp	 NN
"	 Other
workers	 NN
,	 Other
which	 JJ
leaves	 VB
them	 NN
with	 Other
no	 Other
job	 NN
security	 NN
.	 Other
Additionally	 RB
,	 Other
a	 Other
full	 JJ
-	 Other
time	 NN
Lecturer	 NN
's	 Other
workload	 NN
is	 VB
typically	 RB
twice	 JJ
that	 Other
of	 Other
a	 Other
tenure	 NN
track	 NN
professor	 NN
,	 Other
yet	 Other
they	 NN
are	 VB
paid	 VB
significantly	 RB
less	 RB
.	 Other
Many	 JJ
of	 Other
the	 Other
picket	 NN
signs	 NN
displayed	 VB
at	 Other
the	 Other
picnic	 NN
communicated	 VB
around	 Other
the	 Other
theme	 NN
of	 Other
precarity	 NN
.	 Other
One	 Other
such	 JJ
message	 NN
,	 Other
"	 Other
A	 Other
Precarious	 JJ
Faculty	 NN
=	 VB
A	 Other
Precarious	 JJ
University	 NN
,	 Other
"	 Other
was	 VB
emblazoned	 VB
on	 Other
a	 Other
gold	 NN
flag	 NN
along	 Other
with	 Other
the	 Other
stencil	 NN
of	 Other
a	 Other
fist	 NN
holding	 VB
a	 Other
pencil	 NN
.	 Other
Precarity	 NN
has	 VB
been	 VB
defined	 VB
as	 Other
a	 Other
condition	 NN
of	 Other
instability	 NN
in	 Other
the	 Other
workforce	 NN
created	 VB
in	 Other
postindustrial	 JJ
societies	 NN
when	 RB
management	 NN
seeks	 VB
to	 Other
increase	 VB
its	 JJ
own	 JJ
strength	 NN
by	 Other
limiting	 VB
job	 NN
opportunities	 NN
to	 Other
temporary	 JJ
and	 Other
or	 Other
part	 NN
-	 Other
time	 NN
work	 NN
.	 Other
In	 Other
February	 NN
,	 Other
organizers	 NN
of	 Other
the	 Other
National	 NN
Adjunct	 NN
Day	 NN
of	 Other
Action	 NN
adopted	 VB
"	 Other
Saint	 NN
Precaria	 NN
"	 Other
as	 Other
their	 JJ
"	 Other
icon	 NN
saint	 NN
"	 Other
and	 Other
individuals	 NN
at	 Other
UC	 NN
Santa	 NN
Cruz	 NN
continue	 VB
to	 Other
develop	 VB
themes	 NN
surrounding	 VB
precarity	 NN
.	 Other
"	 Other
All	 JJ
these	 Other
movements	 NN
that	 Other
we	 NN
are	 VB
building	 VB
together	 RB
are	 VB
really	 RB
interconnected	 JJ
,	 Other
all	 JJ
the	 Other
student	 NN
movements	 NN
and	 Other
the	 Other
union	 NN
movements	 VB
that	 Other
we	 NN
have	 VB
been	 VB
working	 VB
on	 Other
for	 Other
many	 JJ
years	 NN
together	 RB
,	 Other
"	 Other
explained	 VB
Josh	 NN
Brahinsky	 NN
at	 Other
a	 Other
mid	 JJ
-	 Other
day	 NN
rally	 NN
held	 VB
at	 Other
the	 Other
picnic	 NN
.	 Other
Brahinsky	 NN
teaches	 VB
courses	 NN
at	 Other
both	 Other
UC	 NN
Santa	 NN
Cruz	 NN
and	 Other
San	 NN
Jose	 NN
State	 NN
University	 NN
.	 Other
